record_id,window_id,cluster_id,task_class,MI,composite,assigned_node,reason,latency_ms,energy_mj
100,0,1,1,1635,0.3017,edge-south,qsopoa_allocated,82.75,1.66
100,1,1,1,1930,0.3608,edge-west,qsopoa_allocated,97.5,1.955
100,2,0,0,1015,0.1473,edge-west,qsopoa_allocated,51.75,1.025
100,3,2,0,1199,0.2725,edge-south,qsopoa_allocated,60.95,1.209
100,4,1,1,1580,0.2908,edge-central,qsopoa_allocated,80.0,1.605
100,5,1,1,1553,0.2854,edge-central,qsopoa_allocated,78.65,1.578
100,6,2,0,1189,0.2657,edge-north,qsopoa_allocated,60.45,1.199
100,7,1,1,1809,0.3366,edge-south,qsopoa_allocated,91.45,1.834
100,8,0,0,1160,0.2459,edge-west,qsopoa_allocated,59.0,1.17
100,9,2,0,1198,0.272,edge-west,qsopoa_allocated,60.9,1.208
100,10,2,0,1134,0.2279,edge-south,qsopoa_allocated,57.7,1.144
100,11,1,1,1501,0.275,edge-south,qsopoa_allocated,76.05,1.526
100,12,1,1,1523,0.2794,edge-central,qsopoa_allocated,77.15,1.548
100,13,1,1,1919,0.3586,edge-central,qsopoa_allocated,96.95,1.944
100,14,2,0,1175,0.2564,edge-south,qsopoa_allocated,59.75,1.185
100,15,1,1,1619,0.2986,edge-central,qsopoa_allocated,81.95,1.644
100,16,1,1,1789,0.3325,edge-north,qsopoa_allocated,90.45,1.814
100,17,1,1,1548,0.2843,edge-north,qsopoa_allocated,78.4,1.573
100,18,1,1,1914,0.3575,edge-south,qsopoa_allocated,96.7,1.939
100,19,1,1,1665,0.3078,edge-central,qsopoa_allocated,84.25,1.69
100,20,1,1,1563,0.2873,edge-south,qsopoa_allocated,79.15,1.588
100,21,1,1,1601,0.295,edge-west,qsopoa_allocated,81.05,1.626
100,22,1,1,1689,0.3125,edge-central,qsopoa_allocated,85.45,1.714
100,23,1,1,1727,0.3202,edge-south,qsopoa_allocated,87.35,1.752
100,24,1,1,1744,0.3235,edge-north,qsopoa_allocated,88.2,1.769
100,25,1,1,1606,0.2961,edge-west,qsopoa_allocated,81.3,1.631
100,26,1,1,1537,0.2822,edge-west,qsopoa_allocated,77.85,1.562
100,27,1,1,1865,0.3477,edge-north,qsopoa_allocated,94.25,1.89
100,28,1,1,1740,0.3228,edge-central,qsopoa_allocated,88.0,1.765
100,29,2,0,1194,0.2692,edge-central,qsopoa_allocated,60.7,1.204
100,30,1,1,1502,0.2751,edge-south,qsopoa_allocated,76.1,1.527
100,31,1,1,1671,0.3089,edge-west,qsopoa_allocated,84.55,1.696
