generation,NSGA-II,PSO,GA,GWO,ACO
0,421.5610527002517,538.386202195259,460.91699854050694,534.3605798221585,619.2640606995556
1,396.28162834975365,538.386202195259,460.91699854050694,538.386202195259,619.2640606995556
2,352.9000601363979,538.386202195259,460.91699854050694,460.91699854050694,619.2640606995556
3,352.9000601363979,538.386202195259,460.91699854050694,460.91699854050694,619.2640606995556
4,352.9000601363979,538.386202195259,460.91699854050694,460.91699854050694,619.2640606995556
5,352.9000601363979,538.386202195259,460.91699854050694,460.91699854050694,619.2640606995556
6,352.9000601363979,538.386202195259,460.91699854050694,460.91699854050694,619.2640606995556
7,352.9000601363979,538.386202195259,460.91699854050694,460.91699854050694,619.2640606995556
8,352.9000601363979,538.386202195259,460.91699854050694,460.91699854050694,619.2640606995556
9,352.9000601363979,538.386202195259,460.91699854050694,460.91699854050694,619.2640606995556
10,352.9000601363979,538.386202195259,460.91699854050694,460.91699854050694,619.2640606995556
11,352.9000601363979,538.386202195259,460.91699854050694,460.91699854050694,619.2640606995556
12,352.9000601363979,538.386202195259,460.91699854050694,460.91699854050694,619.2640606995556
13,352.9000601363979,538.386202195259,460.91699854050694,460.91699854050694,619.2640606995556
14,352.9000601363979,538.386202195259,460.91699854050694,460.91699854050694,800.7245803853161
15,352.9000601363979,538.386202195259,460.91699854050694,460.91699854050694,800.7245803853161
16,352.9000601363979,538.386202195259,460.91699854050694,460.91699854050694,800.7245803853161
17,352.9000601363979,538.386202195259,460.91699854050694,460.91699854050694,800.7245803853161
18,352.9000601363979,538.386202195259,460.91699854050694,460.91699854050694,727.2809991036647
19,352.9000601363979,538.386202195259,460.91699854050694,460.91699854050694,727.2809991036647
20,352.9000601363979,538.386202195259,460.91699854050694,460.91699854050694,727.2809991036647
21,352.9000601363979,538.386202195259,460.91699854050694,460.91699854050694,727.2809991036647
22,352.9000601363979,538.386202195259,460.91699854050694,460.91699854050694,727.2809991036647
23,352.9000601363979,538.386202195259,460.91699854050694,460.91699854050694,727.2809991036647
24,352.9000601363979,538.386202195259,460.91699854050694,460.91699854050694,727.2809991036647
25,352.9000601363979,538.386202195259,460.91699854050694,460.91699854050694,727.2809991036647
26,352.9000601363979,538.386202195259,460.91699854050694,460.91699854050694,727.2809991036647
27,352.9000601363979,538.386202195259,460.91699854050694,460.91699854050694,727.2809991036647
28,352.9000601363979,538.386202195259,460.91699854050694,460.91699854050694,727.2809991036647
29,352.9000601363979,538.386202195259,460.91699854050694,460.91699854050694,727.2809991036647
30,352.9000601363979,538.386202195259,460.91699854050694,460.91699854050694,727.2809991036647
31,352.9000601363979,538.386202195259,460.91699854050694,460.91699854050694,727.2809991036647
32,352.9000601363979,538.386202195259,460.91699854050694,460.91699854050694,727.2809991036647
33,352.9000601363979,538.386202195259,460.91699854050694,460.91699854050694,727.2809991036647
34,352.9000601363979,538.386202195259,460.91699854050694,460.91699854050694,727.2809991036647
35,352.9000601363979,538.386202195259,460.91699854050694,460.91699854050694,727.2809991036647
36,352.9000601363979,538.386202195259,460.91699854050694,460.91699854050694,727.2809991036647
37,352.9000601363979,538.386202195259,460.91699854050694,460.91699854050694,727.2809991036647
38,352.9000601363979,538.386202195259,460.91699854050694,460.91699854050694,727.2809991036647
39,352.9000601363979,538.386202195259,460.91699854050694,460.91699854050694,727.2809991036647
40,352.9000601363979,538.386202195259,460.91699854050694,460.91699854050694,727.2809991036647
41,352.9000601363979,538.386202195259,460.91699854050694,460.91699854050694,727.2809991036647
42,352.9000601363979,538.386202195259,460.91699854050694,460.91699854050694,727.2809991036647
43,352.9000601363979,538.386202195259,460.91699854050694,460.91699854050694,727.2809991036647
44,352.9000601363979,538.386202195259,460.91699854050694,460.91699854050694,727.2809991036647
45,352.9000601363979,538.386202195259,460.91699854050694,460.91699854050694,727.2809991036647
46,352.9000601363979,538.386202195259,460.91699854050694,460.91699854050694,727.2809991036647
47,352.9000601363979,538.386202195259,460.91699854050694,460.91699854050694,727.2809991036647
48,352.9000601363979,538.386202195259,460.91699854050694,460.91699854050694,727.2809991036647
49,352.9000601363979,538.386202195259,460.91699854050694,460.91699854050694,727.2809991036647
