no_of_tasks,strategy,makespan_s,total_energy_mJ,network_load_KB,transmission_delay_ms,execution_cost_mJ,response_time_ms,cpu_time_ms,resource_utilization_pct,degree_of_imbalance,throughput_tasks_per_s
100,Our Framework (K-Means+++NSGA-II),15.311555357142854,544.9412000000001,330951.25,153.11555357142856,544.9412000000001,153.11555357142856,7038.155357142858,0.0,0.0,6.531015149506017
100,PSO Scheduler,18.220174999999998,590.2923999999998,218431.25,182.20174999999998,590.2923999999998,182.20174999999998,12779.175,0.0,0.0,5.488421488816656
100,GA Scheduler,17.911421428571423,577.0024,249228.75,179.11421428571427,577.0024,179.11421428571427,11170.621428571432,0.0,0.0,5.583029822551374
100,Weighted Sum Method,15.311555357142854,544.9412000000001,330951.25,153.11555357142856,544.9412000000001,153.11555357142856,7038.155357142858,0.0,0.0,6.531015149506017
1000,Our Framework (K-Means+++NSGA-II),153.08050803571416,5453.538199999998,3333323.75,153.08050803571416,5453.538199999998,153.08050803571416,69648.10803571434,0.0,0.0,6.532510329575708
1000,PSO Scheduler,179.85467053571415,5908.180199999999,2297121.25,179.85467053571415,5908.180199999999,179.85467053571415,124086.6705357143,0.0,0.0,5.560044657285826
1000,GA Scheduler,167.75558839285696,5684.337399999999,2761023.75,167.75558839285696,5684.337399999999,167.75558839285696,98853.78839285718,0.0,0.0,5.961053277451233
1000,Weighted Sum Method,153.08050803571416,5453.538199999998,3333323.75,153.08050803571416,5453.538199999998,153.08050803571416,69648.10803571434,0.0,0.0,6.532510329575708
5000,Our Framework (K-Means+++NSGA-II),762.0031848214275,26988.697200000017,16425625.0,152.4006369642855,26988.697200000017,152.4006369642855,347440.78482142865,0.0,0.0,6.561652365234839
5000,PSO Scheduler,797.3181674999993,25841.841800000002,11230378.75,159.46363349999984,25841.841800000002,159.46363349999984,521142.7675000004,1.6645966,0.0013078394246766824,6.2710222892293555
5000,GA Scheduler,798.5147669642846,27547.4918,15002756.25,159.70295339285693,27547.4918,159.70295339285693,419415.566964286,0.0,0.0,6.261624965319691
5000,Weighted Sum Method,762.0031848214275,26988.697200000017,16425625.0,152.4006369642855,26988.697200000017,152.4006369642855,347440.78482142865,0.0,0.0,6.561652365234839
10000,Our Framework (K-Means+++NSGA-II),1525.0732696428568,54041.099199999924,32883872.5,152.50732696428562,54041.099199999924,152.50732696428562,695560.4696428532,0.0,0.0,6.557062010759529
10000,PSO Scheduler,1671.0053098214273,56723.46880000002,26722675.0,167.10053098214274,56723.46880000002,167.10053098214274,1018362.3098214237,0.0,0.0,5.9844214385343
10000,GA Scheduler,1794.7639419642833,57708.460199999994,23413156.25,179.47639419642834,57708.460199999994,179.47639419642834,1172423.7419642806,0.0,0.0,5.571763375776024
10000,Weighted Sum Method,1525.0732696428568,54041.099199999924,32883872.5,152.50732696428562,54041.099199999924,152.50732696428562,695560.4696428532,0.0,0.0,6.557062010759529
17328,Our Framework (K-Means+++NSGA-II),2647.0518571429066,94000.03500000005,57287606.25,152.76153376863496,94000.03500000005,152.76153376863496,1206027.8571428393,0.0,0.0,6.546150561138973
17328,PSO Scheduler,3287.4036071428563,103898.57800000026,32467125.0,189.71627465044185,103898.57800000026,189.71627465044185,2467955.6071428247,0.0,0.0,5.271029076670049
17328,GA Scheduler,3287.4036071428563,103898.57800000026,32467125.0,189.71627465044185,103898.57800000026,189.71627465044185,2467955.6071428247,0.0,0.0,5.271029076670049
17328,Weighted Sum Method,2647.0518571429066,94000.03500000005,57287606.25,152.76153376863496,94000.03500000005,152.76153376863496,1206027.8571428393,0.0,0.0,6.546150561138973
