record_id,window_id,MI,edge_node,route,latency_ms,energy_mj,pro_preferred,oobl_best,lat_A,lat_B
101.0,35,5000,edge-central,A,400.5325,10.75,,,,
101.0,63,5000,edge-south,A,400.0935,10.75,,,,
101.0,64,5000,edge-west,A,379.3469,10.75,,,,
104.0,2,5000,edge-north,A,400.3302,10.75,,,,
104.0,3,5000,edge-central,A,397.3757,10.75,,,,
104.0,5,5000,edge-south,A,403.7281,10.75,,,,
104.0,20,5000,edge-west,A,390.5844,10.75,,,,
105.0,0,5000,edge-north,A,400.3481,10.75,,,,
105.0,1,5000,edge-central,A,409.5938,10.75,,,,
105.0,4,5000,edge-south,A,391.7101,10.75,,,,
105.0,5,5000,edge-west,A,380.7006,10.75,,,,
105.0,6,5000,edge-north,A,378.0026,10.75,,,,
105.0,7,5000,edge-central,A,399.5024,10.75,,,,
105.0,9,5000,edge-south,A,387.233,10.75,,,,
105.0,10,5000,edge-west,A,402.1148,10.75,,,,
105.0,11,5000,edge-north,A,385.7937,10.75,,,,
105.0,12,5000,edge-central,A,393.3069,10.75,,,,
105.0,14,5000,edge-south,A,393.8507,10.75,,,,
105.0,15,5000,edge-west,A,394.6974,10.75,,,,
105.0,16,5000,edge-north,A,399.8835,10.75,,,,
105.0,17,5000,edge-central,A,406.1851,10.75,,,,
105.0,18,5000,edge-south,A,385.4997,10.75,,,,
105.0,19,5000,edge-west,A,391.9956,10.75,,,,
105.0,20,5000,edge-north,A,407.3439,10.75,,,,
105.0,21,5000,edge-central,A,401.9126,10.75,,,,
105.0,22,5000,edge-south,A,397.991,10.75,,,,
105.0,23,5000,edge-west,A,393.5746,10.75,,,,
105.0,24,5000,edge-north,A,402.9604,10.75,,,,
105.0,25,5000,edge-central,A,396.7249,10.75,,,,
105.0,26,5000,edge-south,A,389.0412,10.75,,,,
105.0,27,5000,edge-west,A,390.9282,10.75,,,,
105.0,28,5000,edge-north,A,406.6376,10.75,,,,
105.0,29,5000,edge-central,A,391.6535,10.75,,,,
105.0,30,5000,edge-south,A,391.2247,10.75,,,,
105.0,31,5000,edge-west,A,400.1837,10.75,,,,
105.0,32,5000,edge-north,A,387.9189,10.75,,,,
105.0,33,5000,edge-central,A,397.9339,10.75,,,,
105.0,34,5000,edge-south,A,394.7803,10.75,,,,
105.0,35,5000,edge-west,A,404.1299,10.75,,,,
105.0,36,5000,edge-north,A,403.0051,10.75,,,,
105.0,37,5000,edge-central,A,380.1027,10.75,,,,
105.0,38,5000,edge-south,A,379.1192,10.75,,,,
105.0,39,5000,edge-west,A,406.814,10.75,,,,
105.0,40,5000,edge-north,A,395.3969,10.75,,,,
105.0,41,5000,edge-central,A,383.5078,10.75,,,,
105.0,42,5000,edge-south,A,397.544,10.75,,,,
105.0,43,5000,edge-west,A,399.1794,10.75,,,,
105.0,44,5000,edge-north,A,406.3523,10.75,,,,
105.0,45,5000,edge-central,A,403.433,10.75,,,,
105.0,46,5000,edge-south,A,385.3733,10.75,,,,
105.0,47,5000,edge-west,A,385.6753,10.75,,,,
105.0,48,5000,edge-north,A,380.9893,10.75,,,,
105.0,49,5000,edge-central,A,381.0947,10.75,,,,
105.0,50,5000,edge-south,A,397.2521,10.75,,,,
105.0,51,5000,edge-west,A,389.3952,10.75,,,,
105.0,52,5000,edge-north,A,406.1758,10.75,,,,
105.0,54,5000,edge-central,A,391.0384,10.75,,,,
105.0,55,5000,edge-south,A,383.9145,10.75,,,,
105.0,56,5000,edge-west,A,391.7863,10.75,,,,
105.0,57,5000,edge-north,A,385.5014,10.75,,,,
105.0,58,5000,edge-central,A,383.5694,10.75,,,,
105.0,59,5000,edge-south,A,385.7577,10.75,,,,
105.0,60,5000,edge-west,A,391.4323,10.75,,,,
105.0,61,5000,edge-north,A,390.9873,10.75,,,,
105.0,62,5000,edge-central,A,395.326,10.75,,,,
105.0,63,5000,edge-south,A,378.5331,10.75,,,,
105.0,64,5000,edge-west,A,381.3124,10.75,,,,
105.0,65,5000,edge-north,A,404.8292,10.75,,,,
105.0,66,5000,edge-central,A,379.0751,10.75,,,,
105.0,67,5000,edge-south,A,402.2123,10.75,,,,
105.0,68,5000,edge-west,A,406.9536,10.75,,,,
105.0,69,5000,edge-north,A,389.0402,10.75,,,,
105.0,70,5000,edge-central,A,397.6177,10.75,,,,
105.0,71,5000,edge-south,A,395.6579,10.75,,,,
105.0,72,5000,edge-west,A,401.0535,10.75,,,,
105.0,73,5000,edge-north,A,381.1463,10.75,,,,
105.0,74,5000,edge-central,A,402.5755,10.75,,,,
105.0,75,5000,edge-south,A,400.009,10.75,,,,
105.0,76,5000,edge-west,A,397.2528,10.75,,,,
105.0,77,5000,edge-north,A,392.9022,10.75,,,,
105.0,78,5000,edge-central,A,399.938,10.75,,,,
105.0,79,5000,edge-south,A,388.432,10.75,,,,
105.0,80,5000,edge-west,A,397.0226,10.75,,,,
105.0,81,5000,edge-north,A,398.2775,10.75,,,,
105.0,83,5000,edge-central,A,387.9216,10.75,,,,
105.0,84,5000,edge-south,A,394.6674,10.75,,,,
105.0,85,5000,edge-west,A,383.7317,10.75,,,,
105.0,86,5000,edge-north,A,408.2074,10.75,,,,
105.0,87,5000,edge-central,A,394.7356,10.75,,,,
105.0,89,5000,edge-south,A,386.5339,10.75,,,,
105.0,90,5000,edge-west,A,382.0265,10.75,,,,
105.0,91,5000,edge-north,A,387.3823,10.75,,,,
105.0,92,5000,edge-central,A,404.2511,10.75,,,,
105.0,93,5000,edge-south,A,399.0611,10.75,,,,
105.0,94,5000,edge-west,A,398.061,10.75,,,,
105.0,95,5000,edge-north,A,383.3574,10.75,,,,
105.0,97,5000,edge-central,A,404.8583,10.75,,,,
105.0,98,5000,edge-south,A,409.4805,10.75,,,,
105.0,99,5000,edge-west,A,396.918,10.75,,,,
105.0,100,5000,edge-north,A,394.2747,10.75,,,,
105.0,102,5000,edge-central,A,387.4035,10.75,,,,
105.0,103,5000,edge-south,A,396.051,10.75,,,,
105.0,104,5000,edge-west,A,399.5763,10.75,,,,
105.0,105,5000,edge-north,A,383.7781,10.75,,,,
105.0,106,5000,edge-central,A,384.1217,10.75,,,,
105.0,107,5000,edge-south,A,386.9892,10.75,,,,
105.0,108,5000,edge-west,A,405.2749,10.75,,,,
105.0,109,5000,edge-north,A,399.9827,10.75,,,,
105.0,110,5000,edge-central,A,378.69,10.75,,,,
105.0,111,5000,edge-south,A,394.1015,10.75,,,,
105.0,112,5000,edge-west,A,396.8831,10.75,,,,
105.0,113,5000,edge-north,A,384.434,10.75,,,,
105.0,114,5000,edge-central,A,397.504,10.75,,,,
105.0,116,5000,edge-south,A,382.6582,10.75,,,,
105.0,118,5000,edge-west,A,403.3518,10.75,,,,
105.0,119,5000,edge-north,A,398.5728,10.75,,,,
105.0,120,5000,edge-central,A,388.7566,10.75,,,,
105.0,122,5000,edge-south,A,387.6185,10.75,,,,
105.0,123,5000,edge-west,A,398.2232,10.75,,,,
105.0,124,5000,edge-north,A,395.3574,10.75,,,,
105.0,125,5000,edge-central,A,395.0467,10.75,,,,
105.0,126,5000,edge-south,A,383.4312,10.75,,,,
105.0,127,5000,edge-west,A,398.3799,10.75,,,,
105.0,128,5000,edge-north,A,388.3254,10.75,,,,
105.0,129,5000,edge-central,A,399.4486,10.75,,,,
105.0,130,5000,edge-south,A,380.6133,10.75,,,,
105.0,131,5000,edge-west,A,380.9247,10.75,,,,
105.0,133,5000,edge-north,A,380.1633,10.75,,,,
105.0,134,5000,edge-central,A,388.4014,10.75,,,,
105.0,135,5000,edge-south,A,387.2223,10.75,,,,
105.0,136,5000,edge-west,A,386.5908,10.75,,,,
105.0,137,5000,edge-north,A,407.9761,10.75,,,,
105.0,138,5000,edge-central,A,391.5555,10.75,,,,
105.0,139,5000,edge-south,A,382.3848,10.75,,,,
105.0,140,5000,edge-west,A,393.6914,10.75,,,,
105.0,141,5000,edge-north,A,389.414,10.75,,,,
105.0,142,5000,edge-central,A,381.7416,10.75,,,,
105.0,143,5000,edge-south,A,383.5108,10.75,,,,
105.0,144,5000,edge-west,A,401.1361,10.75,,,,
105.0,145,5000,edge-north,A,401.4138,10.75,,,,
105.0,148,5000,edge-central,A,383.2347,10.75,,,,
105.0,149,5000,edge-south,A,396.4072,10.75,,,,
105.0,150,5000,edge-west,A,397.4006,10.75,,,,
105.0,151,5000,edge-north,A,390.1257,10.75,,,,
105.0,155,5000,edge-central,A,403.7555,10.75,,,,
105.0,156,5000,edge-south,A,377.9417,10.75,,,,
105.0,157,5000,edge-west,A,397.4158,10.75,,,,
105.0,158,5000,edge-north,A,397.2467,10.75,,,,
105.0,159,5000,edge-central,A,383.4057,10.75,,,,
105.0,161,5000,edge-south,A,409.9641,10.75,,,,
105.0,162,5000,edge-west,A,388.4349,10.75,,,,
105.0,163,5000,edge-north,A,385.3759,10.75,,,,
105.0,164,5000,edge-central,A,403.1857,10.75,,,,
105.0,165,5000,edge-south,A,393.1473,10.75,,,,
105.0,166,5000,edge-west,A,397.8084,10.75,,,,
105.0,167,5000,edge-north,A,407.1763,10.75,,,,
105.0,168,5000,edge-central,A,394.7884,10.75,,,,
105.0,169,5000,edge-south,A,397.7521,10.75,,,,
105.0,174,5000,edge-west,A,381.6906,10.75,,,,
105.0,175,5000,edge-north,A,386.0487,10.75,,,,
105.0,177,5000,edge-central,A,390.0604,10.75,,,,
105.0,179,5000,edge-south,A,391.3764,10.75,,,,
105.0,180,5000,edge-west,A,400.7243,10.75,,,,
105.0,181,5000,edge-north,A,393.9302,10.75,,,,
105.0,182,5000,edge-central,A,387.4146,10.75,,,,
105.0,183,5000,edge-south,A,398.8022,10.75,,,,
105.0,185,5000,edge-west,A,402.7653,10.75,,,,
105.0,186,5000,edge-north,A,385.6033,10.75,,,,
105.0,187,5000,edge-central,A,394.9226,10.75,,,,
105.0,188,5000,edge-south,A,406.8475,10.75,,,,
105.0,189,5000,edge-west,A,383.6499,10.75,,,,
105.0,190,5000,edge-north,A,406.1013,10.75,,,,
105.0,191,5000,edge-central,A,381.0177,10.75,,,,
105.0,192,5000,edge-south,A,398.3033,10.75,,,,
105.0,193,5000,edge-west,A,405.5668,10.75,,,,
105.0,194,5000,edge-north,A,388.197,10.75,,,,
105.0,195,5000,edge-central,A,384.5938,10.75,,,,
105.0,200,5000,edge-south,A,402.444,10.75,,,,
105.0,201,5000,edge-west,A,380.1186,10.75,,,,
105.0,203,5000,edge-north,A,389.6,10.75,,,,
105.0,204,5000,edge-central,A,381.9973,10.75,,,,
105.0,205,5000,edge-south,A,382.3879,10.75,,,,
105.0,206,5000,edge-west,A,382.4376,10.75,,,,
105.0,208,5000,edge-north,A,407.0909,10.75,,,,
105.0,210,5000,edge-central,A,392.0737,10.75,,,,
105.0,211,5000,edge-south,A,392.6461,10.75,,,,
105.0,212,5000,edge-west,A,399.3138,10.75,,,,
105.0,213,5000,edge-north,A,394.9944,10.75,,,,
105.0,215,5000,edge-central,A,402.6017,10.75,,,,
105.0,219,5000,edge-south,A,389.8463,10.75,,,,
105.0,220,5000,edge-west,A,398.7758,10.75,,,,
105.0,223,5000,edge-north,A,386.7097,10.75,,,,
105.0,224,5000,edge-central,A,390.9932,10.75,,,,
105.0,225,5000,edge-south,A,398.3102,10.75,,,,
105.0,228,5000,edge-west,A,402.5179,10.75,,,,
105.0,229,5000,edge-north,A,383.5453,10.75,,,,
105.0,237,5000,edge-central,A,397.0492,10.75,,,,
105.0,238,5000,edge-south,A,404.0538,10.75,,,,
105.0,239,5000,edge-west,A,408.1186,10.75,,,,
105.0,240,5000,edge-north,A,409.0149,10.75,,,,
105.0,241,5000,edge-central,A,387.6679,10.75,,,,
105.0,242,5000,edge-south,A,399.5561,10.75,,,,
105.0,243,5000,edge-west,A,385.5377,10.75,,,,
105.0,244,5000,edge-north,A,386.0908,10.75,,,,
105.0,245,5000,edge-central,A,392.2307,10.75,,,,
105.0,246,5000,edge-south,A,397.7566,10.75,,,,
105.0,247,5000,edge-west,A,393.0768,10.75,,,,
105.0,248,5000,edge-north,A,389.8512,10.75,,,,
105.0,250,5000,edge-central,A,401.3454,10.75,,,,
105.0,252,5000,edge-south,A,390.5454,10.75,,,,
105.0,253,5000,edge-west,A,386.1422,10.75,,,,
105.0,254,5000,edge-north,A,400.9082,10.75,,,,
